symbol,strategy,signal_date,trend,recommended_entry,target,stoploss,t_plus,entry_date,entry_price,expected_exit_date,exit_date,exit_price,exit_reason,pnl_pct,status
FPT,Breakout,2026-02-25,Giam,89.01,82.86,91.77,3,2026-02-26,90.0,2026-03-03,,,,,open
HPG,Breakout,2026-02-25,Tang,29.53,31.57,28.61,3,2026-02-26,29.5,2026-03-03,,,,,open
STB,Breakout,2026-02-25,Tang,66.77,71.37,64.7,3,2026-02-26,66.8,2026-03-03,,,,,open
TPB,Breakout,2026-02-25,Tang,18.67,19.96,18.09,3,2026-02-26,18.8,2026-03-03,,,,,open
VPB,Bollinger,2026-02-26,Giam,28.87,27.91,29.77,5,2026-02-27,29.05,2026-03-06,,,,,open
PDR,Breakout,2026-02-27,Giam,16.38,15.25,16.89,3,2026-03-02,,2026-03-05,,,,,pending
